house,mp_key,allocated_amount,state,constituency,elected_nominated
Lok Sabha,LS_ASHOK_KUMAR_YADAV,147000000.0,Bihar,MADHUBANI,
Lok Sabha,LS_ASIT_KUMAR_MAL,275694456.74,West Bengal,BOLPUR(SC),
Lok Sabha,LS_ATUL_GARG,155336470.0,Uttar Pradesh,GHAZIABAD,
Lok Sabha,LS_AVIMANYU_SETHI,147000000.0,Odisha,BHADRAK(SC),
Lok Sabha,LS_AWADHESH_PRASAD,147000000.0,Uttar Pradesh,FAIZABAD,
Lok Sabha,LS_AZAD_KIRTI_JHA,179658399.98,West Bengal,BARDHAMAN-DURGAPUR,
Lok Sabha,LS_B_K_PARTHASARATHI,160491894.11,Andhra Pradesh,HINDUPUR,
Lok Sabha,LS_BABU_SINGH_KUSHWAHA,147000000.0,Uttar Pradesh,JAUNPUR,
Lok Sabha,LS_BACHHAV_SHOBHA_DINESH,147000000.0,Maharashtra,DHULE,
Lok Sabha,LS_BAG_MITALI,147000000.0,West Bengal,ARAMBAG(SC),
Lok Sabha,LS_BAIJAYANT_PANDA,147000000.0,Odisha,KENDRAPARA,
Lok Sabha,LS_BAJRANG_MANOHAR_SONWANE,165899107.19,Maharashtra,BEED,
Lok Sabha,LS_BALABHADRA_MAJHI,147413962.11,Odisha,NABARANGPUR(ST),
Lok Sabha,LS_BALASHOWRY_VALLABBHANENI,147000000.0,Andhra Pradesh,MACHILIPATNAM,
Lok Sabha,LS_BALRAM_NAIK_PORIKA,147000000.0,Telangana,MAHABUBABAD,
Lok Sabha,LS_BALWANT_BASWANT_WANKHADE,198293678.0,Maharashtra,AMRAVATI(SC),
Lok Sabha,LS_BALYA_MAMA_SURESH_GOPINATH_MHATRE,147000000.0,Maharashtra,BHIWANDI,
Lok Sabha,LS_BANSURI_SWARAJ,154306950.0,Delhi,NEW DELHI,
Lok Sabha,LS_BAPI_HALDAR,147000000.0,West Bengal,MATHURAPUR(SC),
Lok Sabha,LS_BASAVARAJ_BOMMAI,147000000.0,Karnataka,HAVERI,
Lok Sabha,LS_BASTIPATI_NAGARAJU_PANCHALINGALA,159998515.11,Andhra Pradesh,KURNOOL,
Lok Sabha,LS_BHAGIRATH_CHAUDHARY,147000000.0,Rajasthan,AJMER,
Lok Sabha,LS_BHAJAN_LAL_JATAV,147000000.0,Rajasthan,KARAULI-DHOLPUR(SC),
Lok Sabha,LS_BHARAT_SINGH_KUSHWAH,151455276.04,Madhya Pradesh,GWALIOR,
Lok Sabha,LS_BHARATBHAI_MANUBHAI_SUTARIYA,147000000.0,Gujarat,AMRELI,
Lok Sabha,LS_BHARATSINHJI_SHANKARJI_DABHI,147000000.0,Gujarat,PATAN,
Lok Sabha,LS_BHARTI_PARDHI,154398389.01,Madhya Pradesh,BALAGHAT,
Lok Sabha,LS_BHASKAR_MURLIDHAR_BHAGARE,147000000.0,Maharashtra,DINDORI(ST),
Lok Sabha,LS_BHAUSAHEB_RAJARAM_WAKCHAURE,147000000.0,Maharashtra,SHIRDI(SC),
Lok Sabha,LS_BHOJRAJ_NAG,164672734.11,Chhattisgarh,KANKER(ST),
Lok Sabha,LS_BHOLA_SINGH,147000000.0,Uttar Pradesh,BULANDSHAHR(SC),
Lok Sabha,LS_BHUMARE_SANDIPANRAO_ASARAM,147000000.0,Maharashtra,AURANGABAD_MH,
Lok Sabha,LS_BHUPATHIRAJU_SRINIVASA_VARMA,147000000.0,Andhra Pradesh,NARASAPURAM,
Lok Sabha,LS_BHUPENDER_YADAV,147000000.0,Rajasthan,ALWAR,
Lok Sabha,LS_BIBHU_PRASAD_TARAI,147000000.0,Odisha,JAGATSINGHPUR(SC),
Lok Sabha,LS_BIDYUT_BARAN_MAHATO,147000000.0,Jharkhand,JAMSHEDPUR,
Lok Sabha,LS_BIJULI_KALITA_MEDHI,147000000.0,Assam,GUWAHATI,
Lok Sabha,LS_BIPLAB_KUMAR_DEB,147000000.0,Tripura,TRIPURA WEST,
Lok Sabha,LS_BISHNU_PADA_RAY,147000000.0,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,
Lok Sabha,LS_BRIJENDRA_SINGH_OLA,147000000.0,Rajasthan,JHUNJHUNU,
Lok Sabha,LS_BRIJMOHAN_AGRAWAL,153766451.11,Chhattisgarh,RAIPUR,
Lok Sabha,LS_BUNTY_VIVEK_SAHU,147000000.0,Madhya Pradesh,CHHINDWARA,
Lok Sabha,LS_C_R_PATIL,158532494.36,Gujarat,NAVSARI,
Lok Sabha,LS_C_M_RAMESH,202531656.11,Andhra Pradesh,ANAKAPALLE,
Lok Sabha,LS_CAPTAIN_BRIJESH_CHOWTA,147000000.0,Karnataka,DAKSHINA KANNADA,
Lok Sabha,LS_CAPTAIN_VIRIATO_FERNANDES,147000000.0,Goa,SOUTH GOA,
Lok Sabha,LS_CHAMALA_KIRAN_KUMAR_REDDY,147000000.0,Telangana,BHONGIR,
Lok Sabha,LS_CHANDAN_CHAUHAN,147000000.0,Uttar Pradesh,BIJNOR,
Lok Sabha,LS_CHANDRA_PRAKASH_JOSHI,147000000.0,Rajasthan,CHITTORGARH,
Lok Sabha,LS_CHANDRA_SHEKHAR,147000000.0,Uttar Pradesh,NAGINA(SC),
Lok Sabha,LS_CHANDUBHAI_CHHAGANBHAI_SHIHORA,147000000.0,Gujarat,SURENDRANAGAR,
Lok Sabha,LS_CHARANJIT_SINGH_CHANNI,147000000.0,Punjab,JALANDHAR(SC),
Lok Sabha,LS_CHAVAN_VASANTRAO_BALWANTRAO,,Maharashtra,NANDED,
Lok Sabha,LS_CHHATRA_PAL_SINGH_GANGWAR,147000000.0,Uttar Pradesh,BAREILLY,
Lok Sabha,LS_CHHATRAPATI_SHAHU_SHAHAJI,147000000.0,Maharashtra,KOLHAPUR,
Lok Sabha,LS_CHHOTELAL,147000000.0,Uttar Pradesh,ROBERTSGANJ(SC),
Lok Sabha,LS_CHINTAMANI_MAHARAJ,147000000.0,Chhattisgarh,SARGUJA(ST),
Lok Sabha,LS_CHIRAG_PASWAN,147000000.0,Bihar,HAJIPUR(SC),
Lok Sabha,LS_CN_ANNADURAI,148579509.11,Tamil Nadu,TIRUVANNAMALAI,
Lok Sabha,LS_D_M_KATHIR_ANAND,160196941.11,Tamil Nadu,VELLORE,
Lok Sabha,LS_D_RAVIKUMAR,197598306.11,Tamil Nadu,VILUPPURAM(SC),
Lok Sabha,LS_DAGGUBATI_PURANDESHWARI,147000000.0,Andhra Pradesh,RAJAHMUNDRY,
Lok Sabha,LS_DAGGUMALLA_PRASADA_RAO,147000000.0,Andhra Pradesh,CHITTOOR,
Lok Sabha,LS_DAMODAR_AGARWAL,147000000.0,Rajasthan,BHILWARA,
Lok Sabha,LS_DAROGA_PRASAD_SAROJ,147000000.0,Uttar Pradesh,LALGANJ (SC),
Lok Sabha,LS_DARSHAN_SINGH_CHOUDHARY,147000000.0,Madhya Pradesh,HOSHANGABAD,
Lok Sabha,LS_DEEPENDER_SINGH_HOODA,147000000.0,Haryana,ROHTAK,
Lok Sabha,LS_DEVENDRA_ALIAS_BHOLE_SINGH,147000000.0,Uttar Pradesh,AKBARPUR,
Lok Sabha,LS_DEVESH_CHANDRA_THAKUR,163809205.11,Bihar,SITAMARHI,
Lok Sabha,LS_DEVESH_SHAKYA,147000000.0,Uttar Pradesh,ETAH,
Lok Sabha,LS_DEVUSINH_JESINGBHAI_CHAUHAN,147000000.0,Gujarat,KHEDA,
Lok Sabha,LS_DHAIRYASHEEL_SAMBHAJIRAO_MANE,147000000.0,Maharashtra,HATKANANGLE,
Lok Sabha,LS_DHANORKAR_PRATIBHA_SURESH_ALIAS_BALUBHAU,147000000.0,Maharashtra,CHANDRAPUR,
Lok Sabha,LS_DHARMENDRA_PRADHAN,147000000.0,Odisha,SAMBALPUR,
Lok Sabha,LS_DHARMENDRA_YADAV,147000000.0,Uttar Pradesh,AZAMGARH,
Lok Sabha,LS_DHAVAL_LAXMANBHAI_PATEL,147000000.0,Gujarat,VALSAD(ST),
Lok Sabha,LS_DILESHWAR_KAMAIT,150450930.89,Bihar,SUPAUL,
Lok Sabha,LS_DILIP_SAIKIA,147000000.0,Assam,Darrang-Udalguri,
Lok Sabha,LS_DINESH_CHANDRA_YADAV,150070866.11,Bihar,MADHEPURA,
Lok Sabha,LS_DINESHBHAI_MAKWANA,160434965.11,Gujarat,AHMEDABAD WEST(SC),
Lok Sabha,LS_BYREDDY_SHABARI,150675889.11,Andhra Pradesh,NANDYAL,
Lok Sabha,LS_C_N_MANJUNATH,147000000.0,Karnataka,BANGALORE RURAL,
Lok Sabha,LS_CHANDRA_SEKHAR_PEMMASANI,159774113.11,Andhra Pradesh,GUNTUR,
Lok Sabha,LS_DHARAMVIRA_GANDHI,147000000.0,Punjab,PATIALA,
Lok Sabha,LS_JAYANTA_KUMAR_ROY,147000000.0,West Bengal,JALPAIGURI(SC),
Lok Sabha,LS_KALGE_SHIVAJI_BANDAPPA,147000000.0,Maharashtra,LATUR(SC),
Lok Sabha,LS_MOHAMMAD_JAWED,148669229.11,Bihar,KISHANGANJ,
Lok Sabha,LS_RAJKUMAR_SANGWAN,147000000.0,Uttar Pradesh,BAGHPAT,
Lok Sabha,LS_RANI_SRI_KUMAR,153060922.82,Tamil Nadu,TENKASI(SC),
Lok Sabha,LS_SHASHI_THAROOR,147000000.0,Kerala,THIRUVANANTHAPURAM,
Lok Sabha,LS_SUKANTA_MAJUMDAR,157085364.9,West Bengal,BALURGHAT,
Lok Sabha,LS_HEMANG_JOSHI,147000000.0,Gujarat,VADODARA,
Lok Sabha,LS_HEMANT_VISHNU_SAVARA,147000000.0,Maharashtra,PALGHAR(ST),
Lok Sabha,LS_KIRSAN_NAMDEO,147000000.0,Maharashtra,GADCHIROLI-CHIMUR(ST),
Lok Sabha,LS_LATA_WANKHEDE,147000000.0,Madhya Pradesh,SAGAR,
Lok Sabha,LS_M_P_ABDUSSAMAD_SAMADANI,170434031.11,Kerala,PONNANI,
Lok Sabha,LS_MANSUKH_MANDAVIYA,147000000.0,Gujarat,PORBANDAR,
Lok Sabha,LS_PRABHA_MALLIKARJUN,147000000.0,Karnataka,DAVANAGERE,
Lok Sabha,LS_PRADEEP_KUMAR_PANIGRAHY,147000000.0,Odisha,BERHAMPUR,
Lok Sabha,LS_PRASHANT_YADAORAO_PADOLE,159680283.39,Maharashtra,BHANDARA-GONDIYA,
Lok Sabha,LS_RAJ_KUMAR_CHABBEWAL,147000000.0,Punjab,HOSHIARPUR(SC),
Lok Sabha,LS_RAJESH_MISHRA,262724510.35,Madhya Pradesh,SIDHI,
Lok Sabha,LS_S_P_SINGH,147000000.0,Uttar Pradesh,PRATAPGARH,
Lok Sabha,LS_SHARMILA_SARKAR,147000000.0,West Bengal,BARDHAMAN PURBA(SC),
Lok Sabha,LS_DR_K_SUDHAKAR,147000000.0,Karnataka,CHIKBALLAPUR,
Lok Sabha,LS_DR_MALLU_RAVI,147000000.0,Telangana,NAGARKURNOOL(SC),
Lok Sabha,LS_DULU_MAHATO,147000000.0,Jharkhand,DHANBAD,
Lok Sabha,LS_DURAI_VAIKO,147000000.0,Tamil Nadu,TIRUCHIRAPPALLI,
Lok Sabha,LS_DURGA_DAS_UIKEY,151569502.91,Madhya Pradesh,BETUL(ST),
Lok Sabha,LS_DUSHYANT_SINGH,147000000.0,Rajasthan,JHALAWAR-BARAN,
Lok Sabha,LS_E_TUKARAM,147000000.0,Karnataka,BELLARY(ST),
Lok Sabha,LS_E_T_MOHAMMED_BASHEER,163895872.11,Kerala,MALAPPURAM,
Lok Sabha,LS_EATALA_RAJENDER,327477390.86,Telangana,MALKAJGIRI,
Lok Sabha,LS_ESWARASAMY_K,162315106.11,Tamil Nadu,POLLACHI,
Lok Sabha,LS_FAGGAN_SINGH_KULASTE,151861648.41,Madhya Pradesh,MANDLA(ST),
Lok Sabha,LS_G_KUMAR_NAIK,147000000.0,Karnataka,RAICHUR(ST),
Lok Sabha,LS_GAIKWAD_VARSHA_EKNATH,147000000.0,Maharashtra,MUMBAI NORTH-CENTRAL,
Lok Sabha,LS_GAJENDRA_SINGH_PATEL,147000000.0,Madhya Pradesh,KHARGONE(ST),
Lok Sabha,LS_GAJENDRA_SINGH_SHEKHAWAT,147000000.0,Rajasthan,JODHPUR,
Lok Sabha,LS_GANAPATHY_RAJKUMAR_P,147370490.11,Tamil Nadu,COIMBATORE,
Lok Sabha,LS_GANESAN_SELVAM,186508749.11,Tamil Nadu,KANCHEEPURAM(SC),
Lok Sabha,LS_GANESH_SINGH,147000000.0,Madhya Pradesh,SATNA,
Lok Sabha,LS_GAURAV_GOGOI,147000000.0,Assam,JORHAT,
Lok Sabha,LS_GENIBEN_NAGAJI_THAKOR,147000000.0,Gujarat,BANASKANTHA,
Lok Sabha,LS_GIRIDHARI_YADAV,147000000.0,Bihar,BANKA,
Lok Sabha,LS_GIRIRAJ_SINGH,147000000.0,Bihar,BEGUSARAI,
Lok Sabha,LS_GM_HARISH_BALAYOGI,147000000.0,Andhra Pradesh,AMALAPURAM(SC),
Lok Sabha,LS_GODAM_NAGESH,147000000.0,Telangana,ADILABAD(ST),
Lok Sabha,LS_GOPINATH_K,147000000.0,Tamil Nadu,KRISHNAGIRI,
Lok Sabha,LS_GOVIND_MAKTHAPPA_KARJOL,147000000.0,Karnataka,CHITRADURGA(SC),
Lok Sabha,LS_GUMMA_THANUJA_RANI,149458905.11,Andhra Pradesh,ARAKU(ST),
Lok Sabha,LS_GURMEET_SINGH_MEET_HAYER,147000000.0,Punjab,SANGRUR,
Lok Sabha,LS_GYANESHWAR_PATIL,155690684.77,Madhya Pradesh,KHANDWA,
Lok Sabha,LS_H_D_KUMARASWAMY,147000000.0,Karnataka,MANDYA,
Lok Sabha,LS_HARENDRA_SINGH_MALIK,147000000.0,Uttar Pradesh,MUZAFFARNAGAR,
Lok Sabha,LS_HARIBHAI_PATEL,147000000.0,Gujarat,MAHESANA,
Lok Sabha,LS_HARISH_CHANDRA_MEENA,147000000.0,Rajasthan,TONK-SAWAI MADHOPUR,
Lok Sabha,LS_HARSH_MALHOTRA,147134131.0,Delhi,EAST DELHI,
Lok Sabha,LS_HASMUKH_BHAI_SOMA_BHAI_PATEL,147000000.0,Gujarat,AHMEDABAD EAST,
Lok Sabha,LS_IMRAN_MASOOD,147000000.0,Uttar Pradesh,SAHARANPUR,
Lok Sabha,LS_INDRA_HANG_SUBBA,152003923.11,Sikkim,SIKKIM,
Lok Sabha,LS_IQRA_CHOUDHARY,147000000.0,Uttar Pradesh,KAIRANA,
Lok Sabha,LS_ISHA_KHAN_CHOUDHURY,147000000.0,West Bengal,MALDAHA DAKSHIN,
Lok Sabha,LS_JAGADISH_CHANDRA_BARMA_BASUNIA,168604641.11,West Bengal,COOCHBEHAR(SC),
Lok Sabha,LS_JAGADISH_SHETTAR,147000000.0,Karnataka,BELGAUM,
Lok Sabha,LS_JAGANNATH_SARKAR,147000000.0,West Bengal,RANAGHAT(SC),
Lok Sabha,LS_JAGDAMBIKA_PAL,160643957.11,Uttar Pradesh,DOMARIYAGANJ,
Lok Sabha,LS_JAI_PARKASH,147000000.0,Haryana,HISAR,
Lok Sabha,LS_JAI_PRAKASH,147000000.0,Uttar Pradesh,HARDOI (SC),
Lok Sabha,LS_JANARDAN_MISHRA,147000000.0,Madhya Pradesh,REWA,
Lok Sabha,LS_JASHUBHAI_BHILUBHAI_RATHVA,147000000.0,Gujarat,CHHOTA UDAIPUR(ST),
Lok Sabha,LS_JASWANTSINH_SUMANBHAI_BHABHOR,147000000.0,Gujarat,DAHOD(ST),
Lok Sabha,LS_JITAN_RAM_MANJHI,147000000.0,Bihar,GAYA (SC),
Lok Sabha,LS_JITENDRA_KUMAR_DOHARE,188747306.26,Uttar Pradesh,ETAWAH(SC),
