mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_ANITA_NAGARSINGH_CHOUHAN,Lok Sabha,ANITA NAGARSINGH CHOUHAN,ANITA NAGARSINGH CHOUHAN,Madhya Pradesh,RATLAM(ST),
LS_ANITA_SUBHADARSHINI,Lok Sabha,ANITA SUBHADARSHINI,ANITA SUBHADARSHINI,Odisha,ASKA,
LS_ANNPURNA_DEVI,Lok Sabha,Annpurna Devi,ANNPURNA DEVI,Jharkhand,KODARMA,
LS_ANOOP_PRADHAN_BALMIKI,Lok Sabha,ANOOP PRADHAN BALMIKI,ANOOP PRADHAN BALMIKI,Uttar Pradesh,HATHRAS (SC),
LS_ANTO_ANTONY,Lok Sabha,Anto Antony,ANTO ANTONY,Kerala,PATHANAMTHITTA,
LS_ANUP_SANJAY_DHOTRE,Lok Sabha,ANUP SANJAY DHOTRE,ANUP SANJAY DHOTRE,Maharashtra,AKOLA,
LS_ANURAG_SHARMA,Lok Sabha,Anurag Sharma,ANURAG SHARMA,Uttar Pradesh,JHANSI,
LS_ANURAG_SINGH_THAKUR,Lok Sabha,Anurag Singh Thakur,ANURAG SINGH THAKUR,Himachal Pradesh,HAMIRPUR_HP,
LS_APPALANAIDU_KALISETTI,Lok Sabha,Appalanaidu Kalisetti,APPALANAIDU KALISETTI,Andhra Pradesh,VIZIANAGARAM,
LS_ARUN_BHARTI,Lok Sabha,ARUN BHARTI,ARUN BHARTI,Bihar,JAMUI(SC),
LS_ARUN_GOVIL,Lok Sabha,ARUN GOVIL,ARUN GOVIL,Uttar Pradesh,MEERUT,
LS_ARUN_NEHRU,Lok Sabha,ARUN NEHRU,ARUN NEHRU,Tamil Nadu,PERAMBALUR,
LS_ARUNA_D_K,Lok Sabha,ARUNA. D. K,ARUNA. D. K,Telangana,MAHABUBNAGAR,
LS_ARUP_CHAKRABORTY,Lok Sabha,ARUP CHAKRABORTY,ARUP CHAKRABORTY,West Bengal,BANKURA,
