work_id,anomaly_score,payment_anomaly_score,payment_anomaly_flag,payment_count,execution_anomaly_score,execution_anomaly_flag,consistency_review_flag,payment_exceeds_sanction_flag,execution_anomaly_reason,payment_data_available,financial_risk_0_100,payment_risk_0_100,execution_risk_0_100,combined_base_risk,final_risk_score,risk_level,investigation_priority
WS/MP18233/2026-2027/274638,0.7496156340348774,0.5334732699065111,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.8800959232614,96.90189328743546,0,98.39099460534842,98.39099460534842,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP113/2026-2027/225159,0.7466348034457849,0.5432126960545082,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.87509992006395,97.50430292598968,0,98.6897014230268,98.6897014230268,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP866/2026-2027/213686,0.7456251609294201,0.5139080568121124,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.86510791366906,94.5926563396443,0,97.22888212665669,97.22888212665669,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18437/2026-2027/242262,0.7456251609294201,0.5374084245474209,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.86510791366906,97.16006884681583,0,98.51258838024245,98.51258838024245,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18391/2026-2027/283790,0.7456251609294201,0.5264650768304703,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.86510791366906,96.34251290877796,0,98.10381041122352,98.10381041122352,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP233/2026-2027/297499,0.743555128920079,0.5152191562065143,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.85511590727418,94.97991967871486,0,97.41751779299452,97.41751779299452,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18198/2026-2027/268853,0.7411317241040679,0.579478326607098,0,4,0,0,0,0,No execution anomaly or consistency issue detected,1,99.85011990407673,99.05335628227195,0,99.45173809317434,99.45173809317434,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18180/2026-2027/231211,0.741037742245641,0.5259386012253238,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.8451239008793,96.24211130235226,0,98.04361760161578,98.04361760161578,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP187/2026-2027/283439,0.7400493456027267,0.751524196315131,1,7,0,0,0,0,No execution anomaly or consistency issue detected,1,99.84012789768185,99.98565691336776,0,99.91289240552481,99.91289240552481,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18053/2026-2027/256906,0.7394050717582961,0.5051378255506728,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.8351318944844,92.9718875502008,0,96.4035097223426,96.4035097223426,VERY_HIGH,VERY_HIGH_REVIEW
